# [1] = (t-r*)/M
# [2] = Amp{rhOverM(2,2)}
# [3] = Arg{rhOverM(2,2)}
-415218.4883787 0.032244704632173 3864.9485727752
-415097.9883787 0.032246978462666 3864.2163028016
-414977.4883787 0.032249253105287 3863.4839534573
-414856.9883787 0.032251528560563 3862.751524711
-414736.4883787 0.032253804829019 3862.0190165311
-414615.9883787 0.03225608191118 3861.286428886
-414495.4883787 0.032258359807572 3860.5537617442
-414374.9883787 0.03226063851872 3859.8210150743
-414254.4883787 0.03226291804515 3859.0881888446
-414133.9883787 0.032265198387388 3858.3552830236
-414013.4883787 0.032267479545958 3857.62229758
-413892.9883787 0.032269761521387 3856.889232482
-413772.4883787 0.0322720443142 3856.1560876982
-413651.9883787 0.032274327924924 3855.422863197
-413531.4883787 0.032276612354092 3854.6895589465
-413410.9883787 0.032278897602235 3853.9561749151
-413290.4883787 0.032281183669884 3853.2227110708
-413169.9883787 0.032283470557573 3852.4891673819
-413049.4883787 0.032285758265833 3851.7555438165
-412928.9883787 0.032288046795196 3851.0218403429
-412808.4883787 0.032290336146193 3850.2880569293
-412687.9883787 0.032292626319357 3849.5541935438
-412567.9883787 0.032294907807312 3848.8232957283
-412447.9883787 0.032297190111678 3848.0923185402
-412327.9883787 0.032299473232981 3847.3612619483
-412207.9883787 0.032301757171745 3846.6301259209
-412087.9883787 0.032304041928497 3845.8989104268
-411967.9883787 0.032306327503769 3845.1676154342
-411847.9883787 0.032308613898094 3844.4362409114
-411727.9883787 0.032310901112002 3843.7047868267
-411607.9883787 0.032313189146025 3842.9732531484
-411487.9883787 0.032315478000696 3842.2416398448
-411367.9883787 0.032317767676546 3841.5099468843
-411247.9883787 0.032320058174108 3840.778174235
-411127.9883787 0.032322349493912 3840.0463218655
-411007.9883787 0.032324641636491 3839.3143897438
-410887.9883787 0.032326934602377 3838.5823778384
-410767.9883787 0.032329228392101 3837.8502861176
-410647.9883787 0.032331523006196 3837.1181145496
-410527.9883787 0.032333818445194 3836.3858631027
-410407.9883787 0.032336114709633 3835.653531745
-410287.9883787 0.03233841180005 3834.9211204445
-410167.9883787 0.032340709716985 3834.1886291692
-410048.4883787 0.03234299888116 3833.4591104335
-409928.9883787 0.032345288866045 3832.7295123248
-409809.4883787 0.032347579672171 3831.9998348114
-409689.9883787 0.032349871300072 3831.2700778618
-409570.4883787 0.032352163750278 3830.5402414445
-409450.9883787 0.032354457023322 3829.8103255277
-409331.4883787 0.032356751119735 3829.08033008
-409211.9883787 0.03235904604005 3828.3502550696
-409092.4883787 0.032361341784797 3827.6201004651
-408972.9883787 0.03236363835451 3826.8898662349
-408853.4883787 0.032365935749723 3826.1595523472
-408733.9883787 0.032368233970974 3825.4291587701
-408614.4883787 0.032370533018804 3824.6986854717
-408494.9883787 0.032372832893749 3823.9681324202
-408375.4883787 0.032375133596349 3823.2374995836
-408255.9883787 0.032377435127143 3822.5067869302
-408136.4883787 0.032379737486668 3821.7759944279
-408016.9883787 0.032382040675464 3821.045122045
-407897.4883787 0.03238434469407 3820.3141697495
-407777.9883787 0.032386649543023 3819.5831375095
-407658.4883787 0.032388955222863 3818.8520252932
-407539.4883787 0.03239125208172 3818.1238926171
-407420.4883787 0.032393549765592 3817.3956805695
-407301.4883787 0.032395848275011 3816.6673891187
-407182.4883787 0.032398147610513 3815.939018233
-407063.4883787 0.032400447772639 3815.2105678808
-406944.4883787 0.032402748761926 3814.4820380302
-406825.4883787 0.032405050578914 3813.7534286493
-406706.4883787 0.032407353224142 3813.0247397066
-406587.4883787 0.032409656698147 3812.29597117
-406468.4883787 0.032411961001469 3811.567123008
-406349.4883787 0.032414266134647 3810.8381951886
-406230.4883787 0.032416572098219 3810.1091876801
-406111.4883787 0.032418878892725 3809.3801004507
-405992.4883787 0.032421186518702 3808.6509334686
-405873.4883787 0.032423494976691 3807.9216867021
-405754.4883787 0.032425804267229 3807.1923601194
-405635.4883787 0.032428114390857 3806.4629536885
-405516.4883787 0.03243042534812 3805.7334673775
-405397.4883787 0.032432737139564 3805.0039011542
-405278.4883787 0.032435049765736 3804.2742549866
-405159.4883787 0.03243736322718 3803.5445288425
-405040.9883787 0.032439667798755 3802.8177892698
-404922.4883787 0.032441973199679 3802.0909703278
-404803.9883787 0.03244427943049 3801.3640719848
-404685.4883787 0.032446586491728 3800.6370942092
-404566.9883787 0.032448894383932 3799.9100369693
-404448.4883787 0.03245120310764 3799.1829002333
-404329.9883787 0.032453512663392 3798.4556839696
-404211.4883787 0.032455823051726 3797.7283881465
-404092.9883787 0.032458134273182 3797.0010127324
-403974.4883787 0.032460446328301 3796.2735576953
-403855.9883787 0.032462759217628 3795.5460230035
-403737.4883787 0.03246507294171 3794.8184086248
-403618.9883787 0.032467387501092 3794.0907145273
-403500.4883787 0.032469702896321 3793.362940679
-403381.9883787 0.032472019127943 3792.6350870478
-403263.4883787 0.032474336196503 3791.9071536019
-403144.9883787 0.032476654102549 3791.1791403091
-403026.4883787 0.032478972846627 3790.4510471376
-402907.9883787 0.032481292429281 3789.7228740553
-402789.4883787 0.032483612851059 3788.9946210302
-402670.9883787 0.032485934112507 3788.2662880304
-402552.9883787 0.032488246414507 3787.5409486644
-402434.9883787 0.032490559550187 3786.8155299339
-402316.9883787 0.032492873520088 3786.0900318071
-402198.9883787 0.032495188324755 3785.3644542521
-402080.9883787 0.032497503964736 3784.6387972371
-401962.9883787 0.032499820440576 3783.91306073
-401844.9883787 0.032502137752822 3783.1872446991
-401726.9883787 0.032504455902021 3782.4613491124
-401608.9883787 0.032506774888719 3781.7353739381
-401490.9883787 0.032509094713463 3781.0093191442
-401372.9883787 0.032511415376798 3780.2831846988
-401254.9883787 0.032513736879272 3779.55697057
-401136.9883787 0.032516059221431 3778.8306767259
-401018.9883787 0.032518382403821 3778.1043031347
-400900.9883787 0.032520706426989 3777.3778497644
-400782.9883787 0.032523031291481 3776.6513165831
-400664.9883787 0.032525356997845 3775.9247035589
-400546.9883787 0.032527683546635 3775.1980106596
-400428.9883787 0.032530010938402 3774.471237853
-400310.9883787 0.032532339173702 3773.7443851069
-400192.9883787 0.032534668253089 3773.017452389
-400075.4883787 0.032536988302773 3772.2935203984
-399957.9883787 0.032539309190502 3771.5695090485
-399840.4883787 0.032541630916822 3770.8454183077
-399722.9883787 0.03254395348228 3770.121248144
-399605.4883787 0.032546276887423 3769.3969985256
-399487.9883787 0.032548601132798 3768.6726694209
-399370.4883787 0.032550926218951 3767.9482607978
-399252.9883787 0.032553252146429 3767.2237726247
-399135.4883787 0.03255557891578 3766.4992048698
-399017.9883787 0.032557906527551 3765.7745575011
-398900.4883787 0.032560234982293 3765.0498304868
-398782.9883787 0.03256256428056 3764.3250237946
-398665.4883787 0.032564894422907 3763.6001373924
-398547.9883787 0.032567225409888 3762.8751712481
-398430.4883787 0.032569557242058 3762.1501253297
-398312.9883787 0.032571889919971 3761.4249996048
-398195.4883787 0.032574223444181 3760.6997940415
-398077.9883787 0.032576557815242 3759.9745086076
-397960.4883787 0.03257889303371 3759.249143271
-397842.9883787 0.032581229100138 3758.5236979995
-397725.4883787 0.03258356601508 3757.7981727611
-397608.4883787 0.03258589382936 3757.0756553749
-397491.4883787 0.032588222486045 3756.3530586372
-397374.4883787 0.032590551985684 3755.6303825164
-397257.4883787 0.032592882328825 3754.9076269807
-397140.4883787 0.032595213516023 3754.1847919979
-397023.4883787 0.032597545547832 3753.4618775361
-396906.4883787 0.032599878424808 3752.7388835632
-396789.4883787 0.032602212147505 3752.0158100472
-396672.4883787 0.032604546716479 3751.2926569561
-396555.4883787 0.032606882132284 3750.5694242577
-396438.4883787 0.032609218395475 3749.8461119201
-396321.4883787 0.032611555506607 3749.1227199113
-396204.4883787 0.032613893466235 3748.3992481991
-396087.4883787 0.032616232274914 3747.6756967515
-395970.4883787 0.032618571933198 3746.9520655366
-395853.4883787 0.032620912441643 3746.2283545222
-395736.4883787 0.032623253800803 3745.5045636763
-395619.4883787 0.032625596011234 3744.7806929669
-395502.4883787 0.032627939073495 3744.0567423617
-395385.4883787 0.032630282988149 3743.3327118284
-395268.4883787 0.032632627755758 3742.6086013345
-395151.9883787 0.032634963351046 3741.8875058491
-395035.4883787 0.032637299793129 3741.1663310212
-394918.9883787 0.032639637082561 3740.4450768186
-394802.4883787 0.032641975219898 3739.7237432096
-394685.9883787 0.032644314205695 3739.0023301621
-394569.4883787 0.032646654040509 3738.2808376442
-394452.9883787 0.032648994724893 3737.5592656239
-394336.4883787 0.032651336259405 3736.8376140692
-394219.9883787 0.032653678644599 3736.1158829483
-394103.4883787 0.03265602188103 3735.3940722292
-393986.9883787 0.032658365969254 3734.6721818798
-393870.4883787 0.032660710909828 3733.9502118682
-393753.9883787 0.032663056703314 3733.2281621622
-393637.4883787 0.032665403350274 3732.5060327295
-393520.9883787 0.032667750851272 3731.7838235378
-393404.4883787 0.032670099206871 3731.0615345549
-393287.9883787 0.032672448417635 3730.3391657483
-393171.4883787 0.032674798484127 3729.616717086
-393054.9883787 0.03267714940691 3728.8941885354
