# [1] = (t-r*)/M
# [2] = Amp{rhOverM(2,2)}
# [3] = Arg{rhOverM(2,2)}
-418433.48703014 0.032077200120458 3819.5246587106
-418310.98703014 0.032079468189548 3818.7876551348
-418188.48703014 0.032081737072725 3818.0505716307
-418065.98703014 0.032084006770516 3817.3134081668
-417943.98703014 0.032086268014394 3816.5791740306
-417821.98703014 0.032088530067299 3815.8448605228
-417699.98703014 0.032090792929754 3815.1104676121
-417577.98703014 0.03209305660228 3814.375995267
-417455.98703014 0.032095321085402 3813.641443456
-417333.98703014 0.032097586379641 3812.9068121477
-417211.98703014 0.032099852485521 3812.1721013108
-417089.98703014 0.032102119403565 3811.4373109137
-416967.98703014 0.032104387134298 3810.7024409249
-416845.98703014 0.032106655678249 3809.9674913127
-416723.98703014 0.032108925035945 3809.2324620455
-416601.98703014 0.032111195207917 3808.4973530913
-416479.98703014 0.032113466194693 3807.7621644187
-416357.98703014 0.032115737996801 3807.0268959958
-416235.98703014 0.032118010614771 3806.2915477909
-416113.98703014 0.032120284049131 3805.5561197724
-415991.98703014 0.032122558300409 3804.8206119084
-415869.98703014 0.032124833369136 3804.0850241673
-415747.98703014 0.032127109255838 3803.3493565174
-415625.98703014 0.032129385961048 3802.6136089269
-415503.98703014 0.032131663485298 3801.8777813638
-415382.48703014 0.032133932489975 3801.1448899741
-415260.98703014 0.032136202308051 3800.4119192028
-415139.48703014 0.032138472940053 3799.6788690183
-415017.98703014 0.032140744386509 3798.9457393891
-414896.48703014 0.032143016647947 3798.2125302835
-414774.98703014 0.032145289724894 3797.4792416701
-414653.48703014 0.032147563617879 3796.7458735172
-414531.98703014 0.032149838327428 3796.0124257933
-414410.48703014 0.032152113854071 3795.2788984669
-414288.98703014 0.032154390198334 3794.5452915064
-414167.48703014 0.03215666736075 3793.81160488
-414045.98703014 0.032158945341852 3793.077838556
-413924.48703014 0.032161224142174 3792.3439925024
-413802.98703014 0.032163503762248 3791.6100666875
-413681.48703014 0.03216578420261 3790.8760610795
-413559.98703014 0.032168065463792 3790.1419756466
-413438.48703014 0.032170347546327 3789.4078103569
-413316.98703014 0.032172630450751 3788.6735651787
-413195.48703014 0.032174914177595 3787.93924008
-413073.98703014 0.032177198727393 3787.2048350292
-412952.48703014 0.03217948410068 3786.4703499943
-412831.48703014 0.032181760888081 3785.738808009
-412710.48703014 0.032184038493268 3785.0071866334
-412589.48703014 0.032186316916774 3784.2754858359
-412468.48703014 0.032188596159133 3783.5437055846
-412347.48703014 0.032190876220877 3782.811845848
-412226.48703014 0.032193157102539 3782.0799065943
-412105.48703014 0.032195438804652 3781.347887792
-411984.48703014 0.032197721327749 3780.6157894092
-411863.48703014 0.032200004672363 3779.8836114144
-411742.48703014 0.032202288839026 3779.1513537758
-411621.48703014 0.032204573828272 3778.4190164617
-411500.48703014 0.032206859640633 3777.6865994405
-411379.48703014 0.032209146276644 3776.9541026805
-411258.48703014 0.032211433736842 3776.2215261497
-411137.48703014 0.032213722021767 3775.4888698162
-411016.48703014 0.032216011131957 3774.7561336481
-410895.48703014 0.032218301067952 3774.0233176133
-410774.48703014 0.03222059183029 3773.29042168
-410653.48703014 0.03222288341951 3772.5574458163
-410532.48703014 0.032225175836152 3771.82438999
-410411.98703014 0.032227459602833 3771.0942838209
-410291.48703014 0.032229744191178 3770.3640982856
-410170.98703014 0.03223202960172 3769.6338333525
-410050.48703014 0.032234315834991 3768.9034889902
-409929.98703014 0.032236602891523 3768.1730651669
-409809.48703014 0.032238890771855 3767.442561851
-409688.98703014 0.032241179476523 3766.7119790107
-409568.48703014 0.032243469006068 3765.9813166141
-409447.98703014 0.032245759361027 3765.2505746294
-409327.48703014 0.032248050541938 3764.5197530249
-409206.98703014 0.032250342549341 3763.7888517685
-409086.48703014 0.032252635383775 3763.0578708286
-408965.98703014 0.032254929045777 3762.3268101734
-408845.48703014 0.032257223535886 3761.5956697709
-408724.98703014 0.032259518854641 3760.8644495894
-408604.48703014 0.032261815002581 3760.133149597
-408483.98703014 0.032264111980243 3759.401769762
-408363.48703014 0.03226640978817 3758.6703100524
-408242.98703014 0.032268708426906 3757.938770436
-408122.48703014 0.032271007896995 3757.2071508809
-408001.98703014 0.032273308198983 3756.4754513549
-407881.98703014 0.032275599783418 3755.7467084208
-407761.98703014 0.032277892193941 3755.0178861146
-407641.98703014 0.032280185431091 3754.2889844046
-407521.98703014 0.032282479495405 3753.5600032589
-407401.98703014 0.032284774387421 3752.8309426461
-407281.98703014 0.032287070107679 3752.1018025343
-407161.98703014 0.032289366656716 3751.3725828918
